"","words","term.freq","doc.freq"
"172","newfoundland",14,10
"173","halifax",18,12
"174","provisions",69,35
"175","kinds",10,10
"176","plentiful",9,8
"177","reasonable",8,8
"178","latest",4,4
"179","accounts",51,43
"180","west",96,47
"181","indies",20,17
"182","supply",41,28
"183","islands",67,28
"184","possibly",13,13
"185","obtained",38,28
"186","consequence",57,46
"187","bounties",2,2
"188","christian",7,6
"189","majesty",15,14
"190","charity",5,4
"191","spare",8,8
"192","extended",16,14
"193","colonies",100,44
"194","surprised",10,10
"195","price",50,30
"196","bread",7,5
"197","home",51,38
"198","assistance",24,19
"199","french",35,23
"200","dutch.the",1,1
"201","crops",9,9
"202","island",84,48
"203","promise",12,9
"204","harvest",7,7
"205","eastward",5,4
"206","ahs",1,1
"207","generally",34,27
"208","considered",45,33
"209","productive",9,9
"210","part.by",1,1
"211","westmoreland",1,1
"212","arrived",144,83
"213","learn",47,36
"214","slaves",40,20
"215","mutinous",2,2
"216","alarming",11,10
"217","degree",33,24
"218","made",225,122
"219","acquainted",10,10
"220","intended",35,33
"221","abolition",6,6
"222","slave",15,9
"223","trade",76,47
"224","extract",48,46
"225","june",91,37
"226","dreadfully",1,1
"227","alarmed",8,8
"228","scarcity",9,9
"229","common",55,38
"230","market",48,28
"231","dollars",51,26
"232","cwt",5,4
"233","bran",1,1
"234","oats",5,4
"235","bushel",10,6
"236","pease",3,3
"237","quantity",28,26
"238","city",48,36
"239","liberties",2,1
"240","order",82,60
"241","governor",124,61
"242","council",32,18
"243","find",62,43
"244","serve",16,15
"245","ten",57,41
"246","days",87,59
"247","worse",5,5
"248","district",22,20
"249","montreal",49,24
"250","frequent",5,5
"251","supplies.wheat",1,1
"252","bad",25,22
"253","shipped",6,5
"254","year",118,68
"255","sells",5,5
"256","merchant",19,16
"257","upwards",32,27
"258","fifteen",12,12
"259","hundred",67,46
"260","pounds",20,15
"261","job.government",1,1
"262","relief",20,15
"263","poor",36,26
"264","caused",14,11
"265","issued",24,20
"266","contractor",2,2
"267","rise",18,17
"268","dollar's",2,1
"269","worth",19,17
"270","time",223,105
"271","day",132,82
"272","yesterday",32,28
"273","delivered",12,11
"274","way.in",1,1
"275","letters",40,31
"276","thursday's",1,1
"277","post",20,15
"278","thousand",39,30
"279","bushels",11,7
"280","damaged",3,3
"281","england",103,64
"282","hear",47,18
"283","cargo",24,23
"284","york",82,46
"285","vessel",107,61
"286","call",27,23
"287","brunswick",4,4
"288","people",196,86
"289","detained",3,3
"290","government",214,109
"291","starving",4,4
"292","condition",41,30
"293","proclamation",24,15
"294","permit",6,6
"295","importation",9,8
"296","states.my",1,1
"297","servant",6,6
"298","baker's",1,1
"299","half",57,34
"300","watching",3,3
"301","hours",26,22
"302","till",42,32
"303","overn",1,1
"304","eighteen-pennyworth",1,1
"305","small",78,63
"306","loaves",1,1
"307","weighing",2,2
"308","thirty-five",1,1
"309","shillings",7,5
"310","paid",48,35
"311","lord",82,40
"312","usâ",1,1
"313","distribute",1,1
"314","troops",62,31
"315","queen.mr",1,1
"316","davidson",3,3
"317","assured",16,14
"318","thursday",34,30
"319","flourin",1,1
"320","country",371,140
"321","weeks",22,19
"322","deal",10,6
"323","pains",5,5
"324","informed",42,39
"325","subjuct",1,1
"326","indebted",6,6
"327","stood",10,9
"328","offered",24,21
"329","expence",22,18
"330","quantities",8,8
"331","insisted",3,3
"332","coinage",7,5
"333","americans",55,35
"334","won",3,3
"335","contracted",5,5
"336","congress",50,21
"337","coined",2,2
"338","rate",33,19
"339","annum",9,6
"340","contracters",1,1
"341","bound",34,32
"342","famous",2,2
"343","jersey",4,3
"344","copper",14,12
"345","larger",11,9
"346","halfpence",2,2
"347","passes",8,6
"348","states;â",1,1
"349","silver",16,12
"350","gold",27,13
"351","coins",6,5
"352","nations",28,23
"353","pass",26,17
"354","cur",1,1
"355","rent",11,7
"356","ordered",30,23
"357","gentleman",60,40
"358","bermuda",6,4
"359","friend",38,21
"360","norfolk",7,6
"361","virginia",16,14
"362","april",55,27
"363","captain",110,59
"364","gilbert",1,1
"365","bearer",4,3
"366","distress",26,15
"367","provi",1,1
"368","sions",1,1
"369","corn",34,23
"370","sale",26,20
"371","past",20,18
"372","george",34,18
"373","baltimore",7,6
"374","immeddiately",1,1
"375","barrels",9,4
"376","superfine",1,1
"377","barrel",4,4
"378","expected",51,42
"379","relieve",5,5
"380","number",216,122
"381","obliged",20,15
"382","live",40,28
"383","greens",1,1
"384","field",24,19
"385","hamilton",9,4
"386","advice",13,11
"387","counsel",8,7
"388","opened",20,17
"389","foreign",36,26
"390","thirty",17,17
"391","computed",3,3
"392","march",46,31
"393","laden",9,6
"394","salted",2,2
"395","permited",0,0
"396","allowed",27,25
"397","dispose",6,5
"398","prove",22,20
"399","set",41,34
"400","intent",1,1
"401","ready",23,21
"402","sail",34,28
"403","advise",11,6
"404","late",69,52
"405","publication",7,5
"406","entitled",21,17
"407","state",216,104
"408","give",105,73
"409","public",130,61
"410","idea",24,22
"411","bill",77,19
"412","talked",5,5
"413","procrastinated",1,1
"414","long",83,51
"415","pending",1,1
"416","work",55,32
"417","understand",50,38
"418","production",10,9
"419","adam",4,4
"420","lymburner",1,1
"421","esq",63,28
"422","negotiate",3,3
"423","afair",1,1
"424","remarkablewithhis",1,1
"425","strong",31,27
"426","nervous",1,1
"427","elocution",1,1
"428","perspicuity",1,1
"429","reasoning.liberty",1,1
"430","congenial",5,4
"431","feelings",14,12
"432","mankind",6,6
"433","security",32,20
"434","flows",1,1
"435","free",65,39
"436","constitution",25,18
"437","political",19,13
"438","civil",28,21
"439","liberty",27,19
"440","contributes",1,1
"441","bringing",13,12
"442","powers",16,12
"443","human",30,24
"444","mind",32,28
"445","encouragement",14,10
"446","called",72,48
"447","participate",3,3
"448","legislative",23,13
"449","authority",38,27
"450","representatives",16,13
"451","criterion",2,2
"452","freedom",6,6
"453","extremely",22,18
"454","natural",28,24
"455","subjects",45,27
"456","struggle",3,3
"457","valuable",38,27
"458","constantly",14,14
"459","acknoledged",1,1
"460","prin",3,3
"461","ciple",3,3
"462","granted",26,18
"463","means",116,71
"464","rendered",16,13
"465","flourishing",10,9
"466","prosperous",6,6
"467","ther",3,3
"468","inhabitants",80,58
"469","general",189,95
"470","tendency",7,7
"471","mild",19,16
"472","administration",15,12
"473","enjoyed",5,5
"474","peculiar",12,12
"475","nature",41,33
"476","system",52,33
"477","deprived",5,5
"478","full",74,54
"479","enjoyment",5,5
"480","essential",8,8
"481","privileges",3,3
"482","prayer",7,5
"483","petitions",3,3
"484","fore",2,2
"485","house",165,71
"486","commons",11,10
"487","objects",23,18
"488","prayed",2,2
"489","reduced",19,16
"490","heads:â",1,1
"491","elective",9,9
"492","assembly",33,18
"493","members",45,24
"494","receive",33,28
"495","salaries",7,5
"496","counsellors",1,1
"497","habeas",2,2
"498","corpusact",1,1
"499","laws",51,28
"500","relating",4,4
"501","personal",12,11
"502","libertybe",1,1
"503","part",178,108
"504","trial",23,16
"505","jury",20,10
"506","likewise",15,13
"507","twelve",26,25
"508","return",54,43
"509","verdict",5,4
"510","ancient",4,4
"511","relative",22,16
"512","marriage",8,7
"513","settlements",41,33
"514","inheritance",3,3
"515","dowers",1,1
"516","continued",28,25
"517","force",57,38
"518","districts",10,9
"519","curious",17,14
"520","anecdote.â",1,1
"521","stranger",7,3
"522","waited",5,4
"523","sibbly",5,1
"524","treasurer",3,3
"525","east",33,26
"526","india",53,40
"527","company",110,47
"528","desired",13,13
"529","speak",16,12
"530","private",41,34
"531","retired",11,8
"532","returned",42,34
"533","smuggled",1,1
"534","duty",30,22
"535","pay",56,31
"536","smiled",2,2
"537","told",17,15
"538","money",89,49
"539","chairman's",1,1
"540","permission",7,7
"541","pray",4,4
"542","resolved",26,19
"543","pays",5,5
"544","exclusive",11,11
"545","privilege",6,6
"546","europe",38,26
"547","man",130,74
"548","deprives",1,1
"549","advantages",25,18
"550","hope",64,48
"551","reap",2,2
"552","opinion",39,29
"553","strictly",12,10
"554","honest",6,6
"555","chairman",14,11
"556","answer",18,15
"557","notwithstanding",12,12
"558","gave",47,37
"559","including",15,13
"560","bank",28,15
"561","note",7,3
"562","thing",55,40
"563","dublin",11,9
"564","indiaman",3,3
"565","william",54,27
"566","joneswe",1,1
"567","left",103,77
"568","patia",1,1
"569","dec",15,14
"570","decca",2,1
"571","passage",67,49
"572","famine",9,6
"573","shocking",6,6
"574","sight",9,9
"575","behold",3,3
"576","move",9,8
"577","corpses",1,1
"578","lay",20,20
"579","wild",32,12
"580","dogs",2,2
"581","jackalls",1,1
"582","eating",12,11
"583","noon-day",2,2
"584","hindoos",1,1
"585","bury",2,2
"586","dead",19,16
"587","burn",2,2
"588","afford",31,25
"589","throw",3,3
"590","river",149,62
"591","side",68,38
"592","laid",39,27
"593","lowwater",1,1
"594","mark",15,14
"595","tide",4,4
"596","flowed",1,1
"597","woman",26,21
"598","child",23,20
"599","dies",2,2
"600","night",43,32
"601","corpse",4,3
"602","eaten",1,1
"603","eye",11,8
"604","witness",4,4
"605","rode",3,3
"606","horseback",4,4
"607","opportunity",28,25
"608","notice",39,33
"609","it.i",1,1
"610","dreadful",28,22
"611","conflagration",4,3
"612","place",196,105
"613","burnt",24,20
"614","miles",121,53
"615","intermission",2,2
"616","perished",5,5
"617","inudation",1,1
"618","distressed",11,11
"619","leave",39,29
"620","december",24,22
"621","calcutta",10,7
"622","sunderburns",1,1
"623","hearty",2,2
"624","god",9,9
"625","sending",17,14
"626","men",187,96
"627","rank",26,24
"628","govern",3,2
"629","revived",3,3
"630","laudably",1,1
"631","too.this",1,1
"632","important",51,41
"633","possession",33,22
"634","hold",28,23
"635","distinction",3,3
"636","parent",7,6
"637","bestow",1,1
"638","it.the",6,5
"639","salary",8,6
"640","emoluments",2,2
"641","annexed",6,5
"642","render",14,13
"643","king's",30,22
"644","gift",2,2
"645","ireland.soon",1,1
"646","restoration",4,4
"647","o'brian",1,1
"648","earl",27,17
"649","inchiquin",1,1
"650","appointed",32,26
"651","died",27,22
"652","government.henry",1,1
"653","bentinck",2,2
"654","duke",43,15
"655","portland",1,1
"656","reign",2,2
"657","grace",16,7
"658","july",50,35
"659","age.the",1,1
"660","death",49,26
"661","noblemen",1,1
"662","impression",6,6
"663","climate",41,27
"664","insalubrity",1,1
"665","air",11,9
"666","persons",135,84
"667","fortune",9,8
"668","ambitious",1,1
"669","governors",13,9
"670","notwith",1,1
"671","standing",5,5
"672","brilliancy",4,2
"673","appointments",2,2
"674","nexd",1,1
"675","situation",47,28
"676","bay",46,38
"677","honduras",3,3
"678","spaniards",18,10
"679","annual",16,11
"680","visit",12,11
"681","settlement",65,44
"682","prevent",31,29
"683","encroachments",2,2
"684","destroying",9,9
"685","cultivated",7,5
"686","spots",1,1
"687","shore",17,16
"688","alledging",1,1
"689","settlers",79,40
"690","prohibited",11,11
"691","convention",14,5
"692","cultivation",24,20
"693","kind",38,35
"694","temporary",12,10
"695","misfortune",4,4
"696","woodcutters",2,1
"697","depriving",2,2
"698","principal",34,30
"699","subsisting",8,8
"700","negroes",23,13
"701","mischief",2,2
"702","superintendant",1,1
"703","colonel",45,35
"704","despar",1,1
"705","calypso",1,1
"706","sloop",7,7
"707","war",94,61
"708","mahogany",1,1
"709","raise",14,13
"710","form",62,45
"711","philadelphia",34,27
"712","travelled",6,6
"713","appearance",41,29
"714","poverty",10,8
"715","boast",4,4
"716","britainâ",1,1
"717","meet",27,23
"718","extravagance",2,2
"719","procure",15,11
"720","easily",24,19
"721","frugal",1,1
"722","out-givings",1,1
"723","manufactured",6,6
"724","equal",30,27
"725","quality",30,23
"726","place.i",1,1
"727","children",65,30
"728","village",13,9
"729","farm-house",1,1
"730","them.â",2,2
"731","increase",42,31
"732","rabbits",1,1
"733","supposed",43,39
"734","double",9,8
"735","numbers",44,31
"736","shorter",4,4
"737","period.â",1,1
"738","grand",26,19
"739","prospect",17,14
"740","hundreds",5,5
"741","acres",68,34
"742","land",231,107
"743","lye",2,2
"744","sic",2,2
"745","idle",6,5
"746","purchased",25,17
"747","manufacture",9,8
"748","wages",22,16
"749","high",59,41
"750","back",38,32
"751","pence",0,0
"752","engaging",7,7
"753","tons",19,17
"754","transports",5,5
"755","contract",9,6
"756","carry",37,30
"757","felons",1,1
"758","sentence",9,6
"759","transportation",17,11
"760","botany",10,9
"761","victualling",3,3
"762","convicts",35,22
"763","voyage",51,35
"764","included",6,6
"765","dear",8,6
"766","beef",11,10
"767","good",199,105
"768","pound",6,5
"769","mutton",4,4
"770","butter",11,9
"771","parishes",12,10
"772","upper",81,32
"773","niagara",27,15
"774","months.there",1,1
"775","orders",36,29
"776","load",6,5
"777","exceedingly",7,7
"778","brisk",9,7
"779","giving",15,13
"780","preference",9,9
"781","european",12,8
"782","m'donald",2,2
"783","honour",31,22
"784","adopted",29,26
"785","liberal",11,10
"786","plan",51,32
"787","establishing",14,10
"788","free-villages",1,1
"789","extensive",28,19
"790","domains",1,1
"791","proposed",48,29
"792","lordship",25,10
"793","fraser",6,6
"794","perpetual",5,5
"795","feus",1,1
"796","lands",53,35
"797","subject",92,53
"798","moderate",6,6
"799","quit",5,3
"800","threatened",4,4
"801","emigrations",9,6
"802","america",110,72
"803","deserve",3,3
"804","highest",17,15
"805","praises",1,1
"806","kitt's",1,1
"807","matthew",4,3
"808","slegg",1,1
"809","downs",4,4
"810","fixed",17,15
"811","august",29,24
"812","weather",27,22
"813","fine",45,38
"814","short",57,47
"815","description",44,35
"816","remarks",20,13
"817","western",40,24
"818","territory",28,21
"819","settled",32,26
"820","nation",34,27
"821","wha",1,1
"822","world",45,34
"823","experience",22,19
"824","obstinate",2,2
"825","rebel",1,1
"826","dare",5,5
"827","deny",6,6
"828","pleasure",23,17
"829","inform",12,12
"830","readers",17,15
"831","paying",12,10
"832","attention",46,38
"833","agriculture",5,5
"834","manufacturesâ",1,1
"835","beginning",19,19
"836","rebellion",1,1
"837","vermont",7,4
"838","kentucky",26,17
"839","indiana",2,1
"840","territory.about",1,1
"841","seventeen",4,3
"842","wilderness",3,2
"843","began",8,8
"844","forest",8,6
"845","rapid",12,11
"846","published",23,18
"847","abridged",1,1
"848","rerejoice",1,1
"849","heart",17,13
"850","briton",5,5
"851","read",34,21
"852","settling",8,7
"853","countries",22,18
"854","manufacturing",4,4
"855","opening",13,11
"856","customers",2,2
"857","tradesman",2,2
"858","twenty",30,27
"859","purchase",18,15
"860","lots",3,2
"861","territory.â",1,1
"862","demand",34,23
"863","manufactures",16,11
"864","continually",4,3
"865","increasing",17,15
"866","america.â",3,3
"867","desponding",1,1
"868","politicians",2,2
"869","derive",9,9
"870","comfort",19,16
"871","channels",3,3
"872","inland",4,3
"873","parts",49,37
"874","continent",12,9
"875","require",12,9
"876","supply.â",2,2
"877","ages",7,7
"878","ascend",1,1
"879","rivers",12,7
"880","extraordinary",27,18
"881","navigation",19,16
"882","diffused",1,1
"883","fertile",26,18
"884","thirteen",7,6
"885","states.the",4,4
"886","bounded",3,2
"887","mississippi",8,6
"888","north",93,47
"889","lakesâ",2,2
"890","pennsylvania",11,8
"891","south",195,106
"892","south-east",2,2
"893","ohio",22,17
"894","hutchins",1,1
"895","geographer",1,1
"896","square",14,9
"897","sixty-three",2,2
"898","deducts",1,1
"899","forth-three",1,1
"900","water",67,43
"901","remain",21,19
"902","fedâ",1,1
"903","ral",1,1
"904","discharge",13,11
"905","debt",21,12
"906","owing",11,11
"907","proportion",39,25
"908","native",37,30
"909","indians",131,61
"910","disposed",19,17
"911","congress*.on",1,1
"912","commencedâ",1,1
"913","marietta",1,1
"914","miami.this",1,1
"915","end",31,28
"916","muskingham",1,1
"917","hockhocking",1,1
"918","sioto",1,1
"919","miami",12,9
"920","wobash&câ",1,1
"921","coal",8,6
"922","iron",19,15
"923","mines",8,5
"924","salt",7,6
"925","pits",1,1
"926","abound",7,5
"927","soil",31,19
"928","excellent?as",1,1
"929","rich",16,10
"930","imagined",4,3
"931","yield",7,7
"932","labour",72,32
"933","healthy",7,7
"934","pleasant",4,3
"935","commodiousâ",1,1
"936","spot",15,12
"937","earth",12,7
"938","europeans",15,15
"939","americansâ",2,2
"940","exceeding",5,5
"941","timber",30,10
"942","tall",1,1
"943","variety?streams",1,1
"944","mills",9,4
"945","indigo",1,1
"946","hemp",3,3
"947","cotton",7,6
"948","thrive",3,3
"949","escape",10,8
"950","exhibit",4,4
"951","latent",2,2
"952","beauties",3,3
"953","fulfill",1,1
"954","travellers",3,3
"955","garden",5,5
"956","center",1,1
"957","empire",11,11
"958","future",29,25
"959","period",37,28
"960","centrical",1,1
"961","accommodate",1,1
"962","stocked",2,2
"963","game",6,4
"964","herds",3,3
"965","deers",1,1
"966","elks",1,1
"967","bears",4,4
"968","fill",6,6
"969","meadows",2,2
"970","thie",2,2
"971","country?turkies",1,1
"972","geese",3,3
"973","swans",3,3
"974","partridges",1,1
"975","innumerable",3,3
"976","excellently",1,1
"977","stored",2,2
"978","fish",22,8
"979","navigable",7,7
"980","sloops.in",1,1
"981","ordinance",1,1
"982","acquire",2,2
"983","fifty",15,13
"984","divided",13,10
"985","states.rejoice",1,1
"986","britons",1,1
"987","supplied",13,12
"988","natives",61,19
"989","rum",9,8
"990","women",50,34
"991","female",28,22
"992","destined",17,17
"993","beautiful",25,14
"994","pity",3,2
"995","send",29,25
"996","abroad",6,6
"997","preferred",5,4
"998","carlisle",3,3
"999","saturday",33,29
"1000","o'clock",44,31
"1001","happened",12,10
"1002","violent",9,7
"1003","hurricane",2,2
"1004","pest",1,1
"1005","thunder",4,4
"1006","storm",14,8
"1007","lost",44,36
"1008","determine",2,2
"1009","proper",37,25
"1010","borough",5,3
"1011","vicinity",14,12
"1012","conceive",8,8
"1013","earthquake",7,6
"1014","attended",30,23
"1015","circumstances",44,35
"1016","cloud",4,2
"1017","clouds",3,3
"1018","lowering",1,1
"1019","aspect",3,3
"1020","furiously",1,1
"1021","agitated",2,2
"1022","broken",16,14
"1023","seemingly",1,1
"1024","fallâ",1,1
"1025","attracted",6,5
"1026","prepared",18,17
"1027","measure",29,23
"1028","follow",21,18
"1029","lightening",2,2
"1030","distance",50,30
"1031","remarkably",2,2
"1032","red",21,8
"1033","flash",2,2
"1034","quick",2,2
"1035","succession",3,3
"1036","sheet",1,1
"1037","flame",2,2
"1038","effect",54,35
"1039","motion",35,13
"1040","pressed",12,12
"1041","heavy",30,29
"1042","suddenly",9,7
"1043","falling",16,12
"1044","hail",7,4
"1045","fell",39,30
"1046","rain",4,4
"1047","abundant",13,10
"1048","thrown",18,14
"1049","buckets",1,1
"1050","dashed",2,2
"1051","opposing",8,8
"1052","object",63,48
"1053","impetuous",1,1
"1054","wind",16,14
"1055","darkened",1,1
"1056","manner",46,35
"1057","surrounding",3,3
"1058","ruins",4,4
"1059","irresistible",3,3
"1060","column",4,3
"1061","happily",6,6
"1062","damages",3,2
"1063","apprehended",3,3
"1064","brick",3,2
"1065","rev",22,10
"1066","elevated",6,4
"1067","lying",21,19
"1068","directly",5,5
"1069","line",18,12
"1070","powerful",11,11
"1071","sufferer",2,2
"1072","building",19,16
"1073","borne",6,5
"1074","roof",6,4
"1075","paton's",2,1
"1076","striking",11,10
"1077","forcibly",7,6
"1078","injuring",3,3
"1079","ways",5,5
"1080","adjoining",13,12
"1081","lot",6,6
"1082","doctor's",2,2
"1083","injruing",1,1
"1084","smaller",12,8
"1085","buildings",18,13
"1086","pointed",16,14
"1087","fury",10,10
"1088","presbyterian",5,4
"1089","church",37,15
"1090","townâ",1,1
"1091","uncommon",5,5
"1092","solidity",2,2
"1093","calculated",31,26
"1094","stand",21,17
"1095","admist",1,1
"1096","elements",3,2
"1097","fourth",9,7
"1098","weighty",3,3
"1099","cornice",1,1
"1100","ground",35,29
"1101","open",34,24
"1102","centre",4,4
"1103","beat",5,5
"1104","injured",4,4
"1105","range",3,2
"1106","nearest",3,3
"1107","fences",4,4
"1108","neighbourhood",22,19
"1109","direction",25,18
"1110","farmers",22,14
"1111","sustained",7,7
"1112","learned",12,9
"1113","forgotten",3,3
"1114","scene",16,11
"1115","providence",9,8
"1116","single",30,27
"1117","life",34,26
"1118","injury",12,12
"1119","mentioning",1,1
"1120","hoped",15,11
"1121","restored",6,6
"1122","rapidity",6,6
"1123","launched",6,6
"1124","october",29,26
"1125","pronounced",4,4
"1126","judges",8,8
"1127","excellent",29,25
"1128","piece",11,8
"1129","workshmanship",0,0
"1130","aug",12,11
"1131","happy",31,27
"1132","informing",2,2
"1133","memory",8,7
"1134","oldest",1,1
"1135","mildew",1,1
"1136","fly",7,6
"1137","affected",5,5
"1138","large",103,72
"1139","grains",1,1
"1140","distinguished",15,12
"1141","favours",2,2
"1142","gratitude",7,7
"1143","sates",2,2
"1144","author",12,7
"1145","blessings",4,3
"1146","connected",13,13
"1147","deliverance",2,2
"1148","anarchy",3,3
"1149","establishment",31,24
"1150","wise",7,7
"1151","albany",1,1
"1152","county",32,23
"1153","ontario",6,5
"1154","genesee",1,1
"1155","ceded",1,1
"1156","commonwealth",5,4
"1157","massachusetts",5,4
"1158","brant",1,1
"1159","head",40,36
"1160","sachems",1,1
"1161","conadoque",2,1
"1162","seat",7,7
"1163","oliver",2,2
"1164","phelps",0,0
"1165","friendship",4,4
"1166","due",37,24
"1167","messrs",26,20
"1168","gorham",1,1
"1169","phelpsâ",1,1
"1170","met",29,22
"1171","conducted",15,15
"1172","highly",31,27
"1173","gratified",7,6
"1174","treatment",5,4
"1175","lands.â",1,1
"1176","informs",8,8
"1177","suburbs",1,1
"1178","hot",5,5
"1179","sunday",29,23
"1180","midnight",3,3
"1181","squall",1,1
"1182","change",28,21
"1183","sudden",15,15
"1184","unhealthy.upwards",1,1
"1185","unhappy",9,9
"1186","tions",2,2
"1187","heat",7,5
"1188","labouring",15,12
"1189","drinking",3,3
"1190","cold",19,16
"1191","raw",2,2
"1192","pernicious",2,2
"1193","extreme",17,13
"1194","intoxicated",1,1
"1195","momments",1,1
"1196","cry",1,1
"1197","wasâ",2,2
"1198","fellow",20,19
"1199","drank",5,4
"1200","instantaneously",1,1
"1201","fatal",15,12
"1202","veral",1,1
"1203","instances",9,8
"1204","concluded",14,13
"1205","favoured",9,9
"1206","grenada",4,4
"1207","packet.a",1,1
"1208","arrive",10,9
"1209","martinico",4,3
"1210","white",22,19
"1211","arms",30,25
"1212","conceived",7,6
"1213","english",53,31
"1214","estates",3,3
"1215","assembled",23,21
"1216","mountains",24,8
"1217","declaring",5,4
"1218","longer",13,12
"1219","event",19,14
"1220","unknown",10,7
"1221","reports",26,16
"1222","resisted",2,2
"1223","military",43,28
"1224","militia",47,18
"1225","die",5,5
"1226","singular",6,5
"1227","spirit",22,19
"1228","discontent",6,5
"1229","assented",1,1
"1230","writers",6,6
"1231","civilized",7,6
"1232","treated",5,5
"1233","bloodshed",2,2
"1234","mistaken",3,2
"1235","humanity",15,13
"1236","meaning",1,1
"1237","ill",9,9
"1238","leaders",4,4
"1239","reviving",2,2
"1240","things",39,25
"1241","expect",21,19
"1242","firm",12,12
"1243","union",22,17
"1244","mercantile",7,7
"1245","interests",23,20
"1246","betwixt",2,2
"1247","subsisted",3,3
"1248","vain",8,7
"1249","instil",3,3
"1250","prejudices",9,9
"1251","ready-money",1,1
"1252","degreeâ",1,1
"1253","betweixt",0,0
"1254","agian",1,1
"1255","danville(kentucky",1,1
"1256","baltimoreit",1,1
"1257","concern",12,10
"1258","communicate",12,11
"1259","melancholy",17,13
"1260","intelligence",38,28
"1261","richard",7,5
"1262","chenoweth",3,1
"1263","officer",25,20
"1264","garrison",14,10
"1265","falls",8,6
"1266","guard",26,25
"1267","exposed",21,17
"1268","plantation",2,1
"1269","bear",15,13
"1270","crab",1,1
"1271","evening",53,37
"1272","station",12,9
"1273","rushed",3,3
"1274","chenoweth's",3,1
"1275","killed",80,40
"1276","soldiers",20,15
"1277","tomahawked",1,1
"1278","scalped",5,4
"1279","wife",23,18
"1280","floor",12,12
"1281","deadâ",1,1
"1282","arm",4,2
"1283","broke",15,13
"1284","savages",17,14
"1285","rest",21,18
"1286","escape.â",2,2
"1287","sick",12,11
"1288","chamber",3,3
"1289","reported",12,12
"1290","heard",34,28
